Date,Open,High,Low,Close,Adj Close,Volume
2016-05-09,64.029999,64.559998,64.029999,64.500000,62.644978,689300
2016-05-10,64.330002,64.639999,64.050003,64.589996,62.732388,1140900
2016-05-11,64.430000,64.660004,63.439999,63.619999,61.790287,960800
2016-05-12,63.759998,64.349998,63.689999,64.180000,62.334183,720400
2016-05-13,64.089996,64.459999,63.450001,63.680000,61.848564,556700
2016-05-16,63.520000,63.980000,63.310001,63.730000,61.897125,517700
2016-05-17,63.730000,63.900002,62.310001,62.529999,60.731628,645700
2016-05-18,62.299999,63.189999,61.590000,63.049999,61.236679,1280100
2016-05-19,62.840000,63.450001,62.669998,63.040001,61.226971,634400
2016-05-20,63.410000,64.000000,63.080002,63.619999,61.790287,565300
2016-05-23,63.500000,63.790001,63.070000,63.570000,61.741726,624200
2016-05-24,64.000000,65.699997,63.840000,65.620003,63.732780,987900
2016-05-25,65.680000,65.919998,65.089996,65.500000,63.616219,821500
2016-05-26,65.379997,65.449997,64.660004,65.019997,63.150024,587100
2016-05-27,65.339996,65.690002,65.220001,65.669998,63.781330,424900
2016-05-31,65.750000,66.029999,65.360001,66.010002,64.111557,1240900
